fov segment, laser convert, laser ds, map update, optimize, poseEstimate, processMeasurement, pub cloud, 
0.042953,4.21032,5.52915,0.057271,23.651,22.3852,32.1917,0.018089,
0.045887,4.22987,5.0691,0.059576,25.3102,23.7633,31.5873,0.015505,
0.04421,3.32304,4.5728,0.058598,26.4239,25.4202,23.9534,0.038973,
0.046097,1.56049,2.13187,0.051544,33.7214,26.5287,23.9639,0.016413,
0.046376,1.52096,2.08668,0.056782,25.8463,33.8313,26.4873,0.015645,
0.045327,4.66744,5.30915,0.051195,33.0055,25.9509,23.0926,0.015365,
0.045328,2.72176,2.05567,0.052103,28.1377,33.1087,24.6456,0.019626,
0.0535,3.54241,3.25117,0.051334,20.947,28.2507,26.0791,0.017042,
0.045956,3.40238,4.34085,0.052871,29.8943,21.0536,27.2518,0.016482,
0.04421,4.56833,4.15968,0.052731,18.2806,29.9975,34.3893,0.016622,
0.07117,4.11708,4.67693,0.109094,28.5808,18.4709,26.4635,0.028077,
0.048052,2.5151,2.06119,0.054407,33.1635,28.6918,33.6177,0.034852,
0.045397,4.62302,5.86272,0.051754,33.874,33.2688,28.8716,0.017041,
0.046445,3.47711,4.33184,0.054826,27.1522,33.9834,21.7688,0.028077,
0.045538,3.38219,4.61156,0.050916,35.8919,27.2558,30.5073,0.016204,
0.072078,3.48018,4.52642,0.108605,37.8687,36.0821,19.0059,0.070192,
0.046794,4.61198,4.68727,0.053429,25.4639,37.9752,29.4154,0.016483,
0.045747,3.55449,4.54109,0.049937,32.182,25.5674,33.8927,0.036667,
0.051125,4.72492,3.91125,0.064325,30.8509,32.3061,34.6179,0.017041,
0.051404,3.44296,4.46056,0.060483,21.3251,30.9708,27.7465,0.021441,
0.051613,4.14878,2.00993,0.063627,15.1383,21.447,36.6377,0.017041,
0.051404,1.76681,2.11686,0.059087,31.6777,15.2565,38.4665,0.017601,
0.05343,1.91836,2.07341,0.060204,19.1444,31.799,26.2404,0.041347,
0.073824,4.08397,5.79518,0.054477,21.6831,19.2803,33.0038,0.019067,
0.074802,3.76933,4.83862,0.055385,23.6952,21.8205,31.7035,0.020045,
0.068795,3.41537,4.58453,0.059855,21.2006,23.8314,21.6928,0.01753,
0.071798,4.40706,4.40671,0.054477,22.2184,21.333,15.7756,0.019905,
0.051125,3.3324,5.11946,0.067189,36.3052,22.3442,32.3499,0.035201,
0.076687,3.88408,4.65326,0.059087,22.6939,36.4466,19.9187,0.021022,
0.081087,4.29601,4.61897,0.121665,30.3977,22.9052,22.3759,0.036737,
0.076268,4.04849,4.77471,0.067677,37.0988,30.5483,24.7377,0.020953,
0.046934,3.54674,4.89358,0.04903,25.6374,37.2025,21.8702,0.015854,
0.04868,3.64396,5.23763,0.055665,25.8074,25.749,23.0396,0.017251,
0.049239,3.70766,4.87892,0.059087,30.5419,25.9234,36.7071,0.015994,
0.047284,4.56141,4.49269,0.051474,22.5142,30.6479,23.187,0.017042,
0.085138,4.92529,4.36404,0.054477,23.0387,22.6614,31.0696,0.020813,
0.070891,2.35174,2.06392,0.059087,17.2373,23.1768,37.6949,0.01788,
0.048262,3.88289,4.53292,0.050427,18.9422,17.3436,26.3239,0.015855,
0.051544,4.67533,4.31857,0.057551,34.357,19.059,26.4942,0.023886,
0.073753,3.29594,4.41782,0.101481,14.6922,34.5428,31.1639,0.032407,
0.052452,3.47585,4.49171,0.059575,33.2605,14.8105,23.3759,0.020324,
0.050426,1.93275,2.4674,0.051893,25.344,33.3705,23.698,0.015296,
0.051334,1.91494,2.09116,0.051753,20.1523,25.4547,17.8431,0.021022,
0.049239,3.36271,4.49702,0.056223,28.0638,20.2645,19.5824,0.016203,
0.048681,3.51776,4.88472,0.05769,26.2699,28.1773,35.2816,0.017461,
0.092891,3.76954,4.41628,0.070611,32.3719,26.4409,15.3429,0.018997,
0.049379,3.41809,4.38052,0.055106,30.9441,32.4844,34.0791,0.017251,
0.049169,4.61806,4.49555,0.055245,19.5005,31.0558,26.181,0.017251,
0.078922,3.44757,4.69845,0.055734,31.6674,19.6423,20.9903,0.020464,
0.074383,3.8067,4.52475,0.059645,34.4919,31.8084,28.5576,0.017321,
0.083392,4.19125,2.18991,0.06195,26.6481,34.6454,27.1147,0.019346,
0.055175,4.68182,5.07979,0.067677,28.5935,26.778,32.9828,0.018578,
0.092262,4.43828,4.90259,0.065233,30.7931,28.7582,31.6321,0.020603,
0.051055,3.59417,4.62253,0.058109,32.9114,30.9085,20.1416,0.016762,
0.051125,3.68433,4.52209,0.052312,22.1354,33.0209,32.3224,0.041906,
0.056223,4.60353,5.64656,0.054338,28.8298,22.2522,35.3393,0.036318,
0.052033,3.54702,5.92767,0.05322,37.6434,28.9416,27.2977,0.01774,
0.054757,4.80649,2.7534,0.070471,25.9948,37.7772,29.2752,0.017461,
0.072497,4.63258,2.43499,0.05322,25.5405,26.128,31.1742,0.047633,
0.081646,4.19642,4.44618,0.060553,35.5751,25.6895,33.5567,0.070192,
0.085906,4.4019,4.50743,0.070262,32.833,35.7384,23.0077,0.063417,
0.074383,3.39351,3.1719,0.062998,19.5422,32.977,29.2056,0.036668,
0.074522,3.48011,3.11602,0.051893,24.4728,19.6753,38.2997,0.021791,
0.051055,3.8727,4.83024,0.050146,30.7155,24.5803,26.6824,0.032476,
0.09303,4.88548,5.06665,0.088211,26.8778,30.9052,26.2675,0.150999,
0.050985,3.3493,4.84756,0.05776,27.3455,26.9942,36.2896,0.018857,
0.049099,3.49471,4.65396,0.053779,30.9062,27.456,33.4843,0.0176,
0.049938,3.27834,4.43982,0.059016,16.6713,31.0226,20.2797,0.019137,
0.049239,3.26144,5.20243,0.05336,34.7513,16.7815,25.3163,0.045746,
0.051474,4.56141,4.53348,0.060553,19.2387,34.8705,31.5861,0.019486,
0.078503,3.29293,4.388,0.058737,24.2759,19.3825,27.6457,0.02242,
0.07075,3.54304,4.43996,0.060344,24.2451,24.4156,28.0955,0.066699,
0.072426,1.60624,2.09255,0.054059,22.4439,24.3783,31.897,0.019206,
0.053011,4.16736,4.3433,0.054756,34.1582,22.5589,17.3232,0.018159,
0.083392,1.66742,2.09332,0.052033,33.5626,34.3012,35.6544,0.016902,
0.077386,3.37675,4.58998,0.050427,28.1807,33.6972,19.9332,0.019905,
0.05336,3.32974,5.03781,0.056153,26.492,28.2977,24.904,0.018578,
0.085837,3.94492,4.71905,0.066001,33.5623,26.6524,24.9234,0.023397,
0.049937,3.43353,4.71465,0.055944,19.1299,33.6753,23.0938,0.018718,
0.052521,4.48885,4.52133,0.058668,27.284,19.2482,34.5598,0.01781,
0.054268,3.25585,5.92118,0.059157,21.8777,27.4042,34.5053,0.017531,
0.08423,4.15584,4.69558,0.065163,31.2519,22.0458,28.8447,0.022908,
0.059157,1.56796,2.07488,0.065791,28.5572,31.3839,27.306,0.018997,
0.050705,3.30593,13.1078,0.055804,22.8917,28.6718,33.9396,0.028146,
0.05315,3.38464,4.38911,0.057829,37.4368,23.0089,19.5113,0.018368,
0.053011,3.24754,4.4665,0.063905,28.7439,37.5612,28.0476,0.017671,
0.055385,2.32876,2.06301,0.069563,33.3628,28.8769,22.3176,0.019206,
0.060134,3.71974,4.77555,0.06202,36.7374,33.4925,31.6456,0.022768,
0.115659,1.85725,2.14542,0.112865,27.5435,36.9748,29.2121,0.024375,
0.087792,3.44708,3.04723,0.066281,40.3277,27.7061,23.5565,0.02682,
0.052521,3.65381,4.4056,0.056293,41.4161,40.4441,38.126,0.018997,
0.055176,3.31766,6.77025,0.064605,26.9828,41.5436,29.4133,0.043373,
0.064395,1.5563,2.08005,0.059855,37.1083,27.1148,34.0287,0.019416,
0.095405,4.70005,5.25013,0.059645,32.9317,37.2705,37.5186,0.025213,
0.073334,3.69956,5.40386,0.063836,24.227,33.0769,28.4647,0.024305,
0.056642,4.73218,4.59375,0.06195,27.3092,24.3526,41.2352,0.018648,
0.06202,3.23077,4.5471,0.06195,34.2815,27.4403,42.3238,0.022559,
0.156447,1.59346,2.10338,0.068166,37.3635,34.5129,27.6458,0.020953,
0.056572,3.4748,2.67958,0.069703,24.1519,37.4959,37.8035,0.026261,
0.083742,2.01014,2.0783,0.058109,25.2004,24.3009,33.6222,0.022489,
0.078852,4.02677,4.67379,0.061321,38.9735,25.3468,24.6199,0.023048,
0.060134,3.58062,2.08417,0.056712,22.49,39.0989,27.9926,0.018717,
0.057271,4.29385,4.44024,0.060553,22.4139,22.6149,35.0704,0.020464,
0.053988,4.1578,3.92787,0.060623,20.3416,22.5365,38.0514,0.01767,
0.055036,3.46139,4.68029,0.060623,28.6681,20.4644,24.8376,0.037994,
0.062509,4.45623,4.83373,0.055734,26.0069,28.7934,25.626,0.02235,
0.056852,3.46901,4.77018,0.065372,20.4165,26.1362,39.6239,0.03527,
0.054826,3.28735,3.10897,0.059156,28.9622,20.5372,22.88,0.023746,
0.057341,3.43101,4.57664,0.077665,30.1516,29.1034,23.305,0.045608,
0.078713,3.91642,4.41915,0.064814,40.6796,30.3019,21.1925,0.02235,
0.082414,3.69558,4.46287,0.073544,41.0984,40.8426,29.3507,0.023747,
0.059506,4.04779,5.03809,0.067748,23.6366,41.2333,26.942,0.018787,
0.054338,3.45106,4.60597,0.060623,24.1358,23.7592,21.1028,0.021302,
0.058947,3.60241,4.51413,0.069563,29.7417,24.2718,29.396,0.019067,
0.052871,3.3104,4.57706,0.060065,32.6012,29.8619,30.8667,0.021581,
0.051474,3.26668,4.51029,0.058667,29.3452,32.7191,41.4818,0.018509,
0.057201,1.51921,2.14403,0.06195,35.2842,29.4726,41.7686,0.019556,
0.05776,1.51761,2.11546,0.074173,41.3288,35.4237,24.4285,0.019137,
0.056223,3.73357,4.59382,0.067678,37.7164,41.4614,24.949,0.023747,
0.086884,3.5341,6.18309,0.066839,27.3369,37.8778,30.5357,0.022489,
0.081785,3.33358,4.3618,0.064255,26.8172,27.4901,33.391,0.022349,
0.057759,3.6425,4.82954,0.065792,21.9434,26.9488,30.2343,0.018508,
0.064325,3.47027,4.30411,0.078014,18.4847,22.0943,36.1106,0.024445,
0.102459,4.16359,2.70772,0.120269,31.6408,18.7174,42.2147,0.032896,
0.056363,3.19383,4.42885,0.058109,44.5446,31.7638,38.1986,0.021511,
0.055385,3.30055,4.65549,0.060065,42.3898,44.6676,28.0318,0.020114,
0.091703,3.57852,4.62483,0.067677,26.7544,42.5553,27.6643,0.022699,
0.091564,3.39323,2.73489,0.074243,20.1098,26.926,22.825,0.022001,
0.059366,3.59081,4.63845,0.062718,30.6112,20.2395,19.5043,0.01802,
0.087373,4.36844,4.4892,0.092122,19.0308,30.7978,32.2984,0.020883,
0.092053,3.55813,4.62441,0.08409,37.6514,19.2132,45.4459,0.022908,
0.05769,3.26514,4.71346,0.072566,30.9931,37.7889,43.1406,0.035829,
0.073056,3.67092,4.68343,0.091285,27.717,31.1651,27.5584,0.025143,
0.115799,3.32003,2.89958,0.116288,39.4509,27.9564,20.8279,0.026261,
0.06628,3.40852,4.55122,0.065861,39.6941,39.5908,31.4062,0.027029,
0.085767,4.13202,4.64935,0.07103,39.5298,39.858,20.0315,0.022838,
0.096801,3.34036,4.75216,0.083043,42.5331,39.7171,38.0866,0.023537,
0.062928,3.42235,2.53584,0.067678,39.4339,42.6718,31.7484,0.019067,
0.088351,4.85273,2.06769,0.078643,39.8325,39.6081,28.7251,0.042045,
0.059715,4.05946,4.6944,0.0667,39.4916,39.9661,40.3183,0.019137,
0.063417,3.58739,5.4012,0.093658,31.5399,39.6564,40.521,0.025633,
0.102808,3.78526,4.90057,0.069214,33.5901,31.7201,40.2947,0.022,
